"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"sp
1.450000000E1,-4.807005749E-2,-3.542004236E-2,1.797633729E-2
1.460000000E1,-6.111954679E-2,1.451422789E-2,-1.597896648E-3
1.470000000E1,-1.118527654E-2,-2.476739804E-2,-3.675162290E-2
1.480000000E1,8.149272905E-2,9.054747672E-3,-3.315635545E-2
1.490000000E1,2.274339562E-1,4.034689036E-2,-3.395530377E-2
1.500000000E1,3.328951350E-1,5.233111522E-2,-1.518001816E-2
1.510000000E1,4.448810584E-1,5.246427328E-2,-1.677791480E-2
1.520000000E1,4.949484867E-1,4.367584171E-2,-5.326322160E-4
1.530000000E1,4.379568396E-1,3.169161685E-2,-6.657902700E-3
1.540000000E1,3.850930922E-1,1.717738897E-2,-2.250371113E-2
1.550000000E1,2.527339865E-1,7.856325186E-3,-3.475425209E-2
1.560000000E1,1.292964704E-1,-6.258428538E-3,3.542004236E-2
1.570000000E1,6.125270484E-3,1.065264432E-2,4.127899674E-3
1.580000000E1,-3.755057123E-2,2.024002421E-2,-4.793689944E-3
1.590000000E1,-6.018744041E-2,1.984055005E-2,3.581951653E-2
1.600000000E1,3.914846788E-2,2.676476885E-2,-2.783003329E-2
1.610000000E1,1.181111939E-1,2.157160475E-2,2.796319134E-2
1.620000000E1,2.533997768E-1,2.876213966E-2,-1.198422486E-2
1.630000000E1,3.707120223E-1,3.049319437E-2,-1.251685708E-2
1.640000000E1,4.392884201E-1,2.929477188E-2,4.660531890E-3
1.650000000E1,4.388889460E-1,2.596582053E-2,2.130528864E-3
1.660000000E1,4.255731406E-1,4.127899674E-3,2.143844669E-2
1.670000000E1,3.494067337E-1,9.587379888E-3,1.478054399E-2
1.680000000E1,2.576608345E-1,-1.238369902E-2,-4.926847998E-3
1.690000000E1,1.402154309E-1,-7.456851024E-3,-4.926847998E-3
1.700000000E1,2.636529469E-2,-1.171790875E-2,1.411475372E-2
1.710000000E1,-2.583266248E-2,-1.837581145E-2,-2.396844972E-3
1.720000000E1,-3.062635242E-2,-2.130528864E-2,2.090581448E-2
1.730000000E1,3.968110009E-2,-2.836266550E-2,-3.328951350E-3
1.740000000E1,1.066596013E-1,-2.063949837E-2,2.050634032E-2
1.750000000E1,2.109223575E-1,-1.358212151E-2,3.994741620E-4
1.760000000E1,3.211772262E-1,-1.704423091E-2,-2.263686918E-2
1.770000000E1,4.198473443E-1,-1.677791480E-2,-7.190534916E-3
1.780000000E1,4.801679427E-1,-7.723167132E-3,-1.624528259E-2
1.790000000E1,4.777710978E-1,3.994741620E-3,-2.530003026E-3
1.800000000E1,3.990746878E-1,1.384843762E-2,-8.388957402E-3
1.810000000E1,3.142530074E-1,8.921589618E-3,8.921589618E-3
1.820000000E1,2.091913028E-1,1.997370810E-2,-1.624528259E-2
1.830000000E1,9.853695996E-2,2.490055610E-2,-1.810949534E-2
1.840000000E1,4.846953166E-2,2.197107891E-2,-2.250371113E-2
1.850000000E1,2.929477188E-3,3.249056518E-2,2.463423999E-2
1.860000000E1,2.969424604E-2,2.223739502E-2,6.657902700E-3
1.870000000E1,5.898901792E-2,1.837581145E-2,1.917475978E-2
1.880000000E1,1.643170386E-1,2.476739804E-2,-2.063949837E-2
1.890000000E1,2.460760838E-1,3.262372323E-2,-3.182477491E-2
1.900000000E1,3.482083112E-1,3.222424907E-2,-3.781688734E-2
1.910000000E1,4.391552621E-1,3.089266853E-2,-1.105211848E-2
1.920000000E1,4.651210826E-1,4.301005144E-2,2.969424604E-2
1.930000000E1,4.671184534E-1,3.928162593E-2,-6.391586592E-3
1.940000000E1,4.390221040E-1,3.262372323E-2,-1.970739199E-2
1.950000000E1,3.551325300E-1,3.249056518E-2,1.571265037E-2
1.960000000E1,2.743055912E-1,2.649845275E-2,1.225054097E-2
1.970000000E1,1.764344216E-1,2.277002723E-2,-1.145159264E-2
1.980000000E1,9.920275023E-2,2.996056215E-2,3.994741620E-3
1.990000000E1,3.275688128E-2,8.655273510E-3,6.258428538E-3
2.000000000E1,5.219795717E-2,5.326322160E-3,-2.676476885E-2
2.010000000E1,5.659217295E-2,1.491370205E-2,-4.527373836E-3
2.020000000E1,1.098553946E-1,2.370213361E-2,8.655273510E-3
2.030000000E1,2.070607740E-1,2.663161080E-2,-2.663161080E-4
2.040000000E1,2.755040137E-1,3.648530680E-2,1.078580237E-2
2.050000000E1,3.687146515E-1,3.581951653E-2,-1.784317924E-2
2.060000000E1,4.428836876E-1,2.077265642E-2,-2.024002421E-2
2.070000000E1,4.676510856E-1,1.411475372E-2,1.331580540E-2
2.080000000E1,4.711131951E-1,1.358212151E-2,-1.864212756E-3
2.090000000E1,4.218447151E-1,1.518001816E-2,1.731054702E-3
2.100000000E1,3.725762351E-1,2.450108194E-2,-1.731054702E-3
2.110000000E1,2.914829802E-1,3.062635242E-2,6.924218808E-3
2.120000000E1,2.118544639E-1,2.822950745E-2,2.663161080E-3
2.130000000E1,1.527322879E-1,3.542004236E-2,5.592638268E-3
2.140000000E1,8.868326396E-2,3.408846182E-2,1.504686010E-2
2.150000000E1,6.364954981E-2,2.010686615E-2,-1.890844367E-2
2.160000000E1,7.030745251E-2,2.663161080E-2,1.198422486E-2
2.170000000E1,1.154480328E-1,2.583266248E-2,6.924218808E-3
2.180000000E1,1.629854581E-1,3.328951350E-3,7.057376862E-3
2.190000000E1,2.624545244E-1,2.183792086E-2,-2.663161080E-4
2.200000000E1,3.446130438E-1,2.569950442E-2,-1.664475675E-2
2.210000000E1,4.093278580E-1,2.063949837E-2,-2.263686918E-3
2.220000000E1,4.535363319E-1,4.993427025E-2,-8.921589618E-3
2.230000000E1,4.733768820E-1,6.111954679E-2,-5.193164106E-3
2.240000000E1,4.667189793E-1,6.098638873E-2,9.853695996E-3
2.250000000E1,4.189152379E-1,5.659217295E-2,9.454221834E-3
2.260000000E1,3.763046606E-1,3.142530074E-2,2.530003026E-3
2.270000000E1,3.131877430E-1,6.657902700E-4,-1.331580540E-3
2.280000000E1,2.238386888E-1,-3.768372928E-2,9.321063780E-3
2.290000000E1,1.607217712E-1,-4.301005144E-2,8.788431564E-3
2.300000000E1,1.012001210E-1,1.198422486E-3,-1.265001513E-2
2.310000000E1,8.775115759E-2,1.344896345E-2,1.211738291E-2
2.320000000E1,1.110538170E-1,2.583266248E-2,-1.424791178E-2
2.330000000E1,1.159806650E-1,1.717738897E-2,9.321063780E-4
2.340000000E1,1.637844064E-1,3.262372323E-2,3.462109404E-3
2.350000000E1,2.543318831E-1,2.743055912E-2,1.611212453E-2
2.360000000E1,3.082608950E-1,2.743055912E-2,-2.796319134E-3
2.370000000E1,3.748399220E-1,2.942792993E-2,-5.992112430E-3
2.380000000E1,4.295678822E-1,3.928162593E-2,1.358212151E-2
2.390000000E1,4.789695202E-1,2.410160777E-2,-6.125270484E-3
2.400000000E1,4.885569001E-1,1.584580843E-2,-5.060006052E-3
2.410000000E1,4.781705719E-1,1.984055005E-2,-1.704423091E-2
2.420000000E1,4.416852651E-1,2.130528864E-2,4.660531890E-3
2.430000000E1,3.964115268E-1,1.704423091E-2,1.198422486E-2
2.440000000E1,3.384877733E-1,1.291633124E-2,1.731054702E-3
2.450000000E1,2.755040137E-1,1.757686313E-2,-3.462109404E-3
2.460000000E1,2.183792086E-1,2.729740107E-2,1.504686010E-2
2.470000000E1,1.797633729E-1,2.370213361E-2,-9.054747672E-3
2.480000000E1,1.506017591E-1,3.289003934E-2,-2.130528864E-3
2.490000000E1,1.339570023E-1,2.596582053E-2,-9.321063780E-4
2.500000000E1,1.568601876E-1,1.944107588E-2,-3.062635242E-3
2.510000000E1,1.713744155E-1,1.265001513E-2,-2.663161080E-3
2.520000000E1,2.257029015E-1,2.490055610E-2,-9.986854050E-3
2.530000000E1,2.854908678E-1,3.408846182E-2,8.921589618E-3
2.540000000E1,3.378219830E-1,2.849582356E-2,4.793689944E-3
2.550000000E1,3.874899371E-1,8.522115456E-3,-4.127899674E-3
2.560000000E1,4.408863168E-1,6.258428538E-3,2.663161080E-3
2.570000000E1,4.749747786E-1,3.901530982E-2,-1.464738594E-3
2.580000000E1,4.764395172E-1,4.487426420E-2,1.810949534E-2
2.590000000E1,4.760400431E-1,2.929477188E-3,1.251685708E-2
2.600000000E1,4.625910796E-1,7.057376862E-3,6.391586592E-3
2.610000000E1,4.286357758E-1,3.821636150E-2,2.663161080E-3
2.620000000E1,3.656520163E-1,2.077265642E-2,1.664475675E-2
2.630000000E1,3.150519558E-1,2.809634939E-2,1.331580540E-2
2.640000000E1,2.552639895E-1,2.783003329E-2,-8.388957402E-3
2.650000000E1,2.298308012E-1,2.569950442E-2,1.331580540E-4
2.660000000E1,2.162486797E-1,2.343581750E-2,-1.025317016E-2
2.670000000E1,1.826928501E-1,1.771002118E-2,-7.723167132E-3
2.680000000E1,1.854891692E-1,3.155845880E-2,-3.861583566E-3
2.690000000E1,1.929460202E-1,2.356897556E-2,-3.328951350E-3
2.700000000E1,2.263686918E-1,2.490055610E-2,7.989483240E-4
2.710000000E1,2.587260989E-1,2.503371415E-2,1.597896648E-3
2.720000000E1,2.990729893E-1,3.169161685E-2,-6.258428538E-3
2.730000000E1,3.595267458E-1,1.984055005E-2,-4.660531890E-3
2.740000000E1,3.953462623E-1,2.436792388E-2,-8.255799348E-3
2.750000000E1,4.274373533E-1,2.862898161E-2,-2.796319134E-3
2.760000000E1,4.648547665E-1,4.154531285E-2,2.796319134E-3
2.770000000E1,5.017395475E-1,3.036003631E-2,3.728425512E-3
2.780000000E1,5.115932435E-1,1.731054702E-2,-6.524744646E-3
2.790000000E1,4.928179579E-1,3.302319739E-2,1.331580540E-3
2.800000000E1,4.852279488E-1,2.609897858E-2,2.530003026E-3
2.810000000E1,4.579305477E-1,1.837581145E-2,-3.595267458E-3
2.820000000E1,4.185157637E-1,1.025317016E-2,-1.065264432E-3
2.830000000E1,3.603256941E-1,8.122641294E-3,-1.864212756E-3
2.840000000E1,3.266367065E-1,9.454221834E-3,-7.190534916E-3
2.850000000E1,3.091930014E-1,2.796319134E-2,-1.384843762E-2
2.860000000E1,2.780340168E-1,1.877528561E-2,3.861583566E-3
2.870000000E1,2.701776916E-1,1.185106681E-2,-7.456851024E-3
2.880000000E1,2.828277067E-1,2.796319134E-3,5.193164106E-3
2.890000000E1,2.786998070E-1,1.464738594E-2,-6.791060754E-3
2.900000000E1,2.277002723E-1,2.356897556E-2,1.091896043E-2
2.910000000E1,2.557966217E-1,1.637844064E-2,-5.193164106E-3
2.920000000E1,3.051982598E-1,9.054747672E-3,-2.263686918E-3
2.930000000E1,3.367567186E-1,2.237055307E-2,-5.193164106E-3
2.940000000E1,3.833620375E-1,2.530003026E-2,1.864212756E-3
2.950000000E1,3.966778429E-1,3.661846485E-2,1.251685708E-2
2.960000000E1,4.399542104E-1,3.249056518E-2,2.663161080E-4
2.970000000E1,4.679174018E-1,1.677791480E-2,1.864212756E-3
2.980000000E1,4.978779639E-1,2.117213059E-2,4.793689944E-3
2.990000000E1,5.117264015E-1,1.344896345E-2,8.388957402E-3
3.000000000E1,5.234443103E-1,1.225054097E-2,-2.796319134E-3
3.010000000E1,5.134574562E-1,1.597896648E-2,-3.994741620E-4
3.020000000E1,4.928179579E-1,1.597896648E-2,-4.793689944E-3
3.030000000E1,4.707137209E-1,2.143844669E-2,7.456851024E-3
3.040000000E1,4.476773775E-1,2.063949837E-2,-2.130528864E-3
3.050000000E1,4.186489218E-1,5.033374441E-2,-1.038632821E-2
3.060000000E1,3.896204660E-1,-2.676476885E-2,-1.331580540E-4
3.070000000E1,3.791009797E-1,-7.456851024E-3,-1.331580540E-4
3.080000000E1,3.503388401E-1,1.065264432E-2,7.590009078E-3
3.090000000E1,3.034672051E-1,2.290318529E-2,2.796319134E-3
3.100000000E1,3.366235605E-1,4.167847090E-2,-8.522115456E-3
3.110000000E1,3.314303964E-1,2.929477188E-2,-3.994741620E-3
3.120000000E1,3.254382840E-1,-1.065264432E-3,7.856325186E-3
3.130000000E1,3.145193235E-1,2.663161080E-2,-2.929477188E-3
3.140000000E1,3.596599039E-1,2.996056215E-2,-1.464738594E-3
3.150000000E1,3.687146515E-1,2.290318529E-2,3.195793296E-3
3.160000000E1,4.036020617E-1,1.424791178E-2,-1.065264432E-3
3.170000000E1,4.153199704E-1,1.704423091E-2,2.663161080E-4
3.180000000E1,4.428836876E-1,2.769687523E-2,3.195793296E-3
3.190000000E1,4.640558182E-1,2.969424604E-2,4.660531890E-3
3.200000000E1,5.032042861E-1,2.516687221E-2,9.986854050E-3
3.210000000E1,5.183843042E-1,1.704423091E-2,-2.663161080E-3
3.220000000E1,5.302353710E-1,7.989483240E-4,-6.791060754E-3
3.230000000E1,5.436843345E-1,8.255799348E-3,5.992112430E-3
3.240000000E1,5.498096050E-1,2.862898161E-2,6.657902700E-3
3.250000000E1,5.399559090E-1,2.516687221E-2,1.864212756E-3
3.260000000E1,5.199822009E-1,1.637844064E-2,4.660531890E-3
3.270000000E1,5.286374744E-1,2.476739804E-2,1.930791783E-2
3.280000000E1,4.870921615E-1,9.986854050E-3,3.595267458E-3
3.290000000E1,4.787032041E-1,7.643272300E-2,2.743055912E-2
3.300000000E1,4.133225996E-1,6.178533706E-2,4.807005749E-2